ticker,rows,start_date,end_date,train_rows,val_rows,test_rows,nan_count,missing_indicators,first_close,last_close,total_return,cache_file
AAPL,2483,2015-02-20,2024-12-31,1981,250,252,0,,28.79543685913086,249.05947875976562,7.649268978907342,cache\AAPL_2015-01-01_2025-01-01.parquet
MSFT,2483,2015-02-20,2024-12-31,1981,250,252,0,,37.56679153442383,417.4606018066406,10.1124901743101,cache\MSFT_2015-01-01_2025-01-01.parquet
GOOGL,2483,2015-02-20,2024-12-31,1981,250,252,0,,26.86793327331543,188.42886352539062,6.013150643504595,cache\GOOGL_2015-01-01_2025-01-01.parquet
AMZN,2483,2015-02-20,2024-12-31,1981,250,252,0,,19.183000564575195,219.38999938964844,10.436688366406603,cache\AMZN_2015-01-01_2025-01-01.parquet
TSLA,2483,2015-02-20,2024-12-31,1981,250,252,0,,14.473999977111816,403.8399963378906,26.90106376789383,cache\TSLA_2015-01-01_2025-01-01.parquet
SPY,2483,2015-02-20,2024-12-31,1981,250,252,0,,174.93649291992188,577.69970703125,2.3023395941502907,cache\SPY_2015-01-01_2025-01-01.parquet
QQQ,2483,2015-02-20,2024-12-31,1981,250,252,0,,99.69538116455078,508.0097961425781,4.095620180277859,cache\QQQ_2015-01-01_2025-01-01.parquet
GLD,2483,2015-02-20,2024-12-31,1981,250,252,0,,115.27999877929688,242.1300048828125,1.1003643949230906,cache\GLD_2015-01-01_2025-01-01.parquet
BTC-USD,3620,2015-02-03,2024-12-31,2889,365,366,0,,227.26800537109375,93429.203125,410.0970348529458,cache\BTC_USD_2015-01-01_2025-01-01.parquet
